# Tissue Carbon and Nitrogen,,,,,,,
#,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/73,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/73.csv,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/32.eml,,,,,,,
#,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,
#,,,,,,,
#     VARIATE TABLE,,,,,,,
11/27/2012,T7,R1,UnSorted,,46.829,0.861,2012
8/11/2009,TSF,R2,Rubus allegheniensis T.C. Porter (*),,45.193,1.502,2009
8/26/2003,T6,R4,aggregate of live biomass except for Medicago sativa L.,,37.515,2.074,2003
5/11/1998,T6,R6,Medicago sativa L.,CROP,43.2,3.3,1998
8/2/2007,T7,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,43.348,0.755,2007
8/30/1999,T5,R4,Trunks of poplars - CN code,POPTRK,47.91,0.42,1999
6/12/2017,T6,R6,UnSorted,,44.466,1.626,2017
8/3/2010,T7,R2,Phleum pratense L.,,43.994,0.832,2010
10/24/2014,T2,R5,Zea mays L. (*),STOVER,45.385,0.638,2014
8/8/1997,T5,R6,Festuca rubra L.,GRDCOVER,42.15,1.45,1997
5/11/1993,T4,R2,Vicia villosa  Roth,COVCROP,42.79,4.58,1993
7/12/1999,T6,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,41.01,2.82,1999
6/26/1995,T8,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,44.36,1.38,1995
8/26/2005,T5,R2,Festuca rubra L.,,43.35,1.603,2005
8/11/2004,TSF,R3,Surface Litter,,40.061,1.554,2004
8/7/1995,T7,R2,Solidago canadensis L.,NDB,46.65,1.02,1995
5/30/2014,T6,R4,Medicago sativa L.,,43.108,2.798,2014
7/18/2011,T5,R2,Leaf Litter,,45.846,1.982,2011
10/28/2011,T4,R4,Zea mays L. (*),SEED,43.737,1.408,2011
8/11/1999,T7,R3,Potentilla recta L.,NDB,43.05,1.15,1999
10/5/2009,T3,R4,aggregate of live biomass except for Glycine max L. (*),,43.946,2.44,2009
7/16/2019,T2,R5,UnSorted,,43.888,1.427,2019
9/2/2003,T2,R3,Glycine max L. (*),SEED,49.69,6.07,2003
8/6/1996,T1,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,42.69,2.86,1996
10/9/2018,T6,R2,UnSorted,,27.825,2.844,2018
8/23/2012,TDF,R1,Leaf Litter,,47.265,1.026,2012
10/23/2008,T3,R5,Zea mays L. (*),STOVER,44.493,0.571,2008
10/5/2006,T3,R4,aggregate of live biomass except for Glycine max L. (*),,32.451,3.357,2006
9/8/1993,T5,,Trunks of poplars - CN code,TRUNK,49.39,0.21,1993
10/2/1991,T2,R6,Zea mays L. (*),SEED,41.22,1.34,1991
7/15/2013,T2,R4,Triticum aestivum L. (*),SEED,43.526,1.524,2013
7/20/1992,T4,R4,Triticum aestivum L. (*),STOVER,39.47,0.87,1992
7/6/2010,T2,R3,Triticum aestivum L. (*),SEED,43.517,1.69,2010
8/30/1999,T5,R1,poplar leaves,POPLVS,43.76,2.36,1999
8/25/1994,T6,R4,Medicago sativa L.,NDB,39.69,3.68,1994
10/4/2005,T3,R4,aggregate of live biomass except for Zea mays,,43.206,1.958,2005
9/15/2008,TCF,R3,Leaf Litter,,51.494,0.907,2008
9/7/2016,TSF,R3,Surface Litter,,37.423,1.247,2016
9/15/1992,T5,R6,Leaf Litter,LEAFLITTER,45.66,1.75,1992
8/2/2007,T7,R6,Poa pratensis L.,,43.777,1.222,2007
8/27/1997,T2,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,42.23,1.44,1997
7/11/1994,TSF,R1,Hieracium sp. (*),NDB,45.09,1.88,1994
9/12/1989,T5,R5,poplar leaves,POPLVS,45.24,4.05,1989
8/5/2010,T7,R5,Solidago canadensis L.,,45.069,1.152,2010
8/8/2007,T8,R3,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,,44.611,0.49,2007
9/25/2012,T1,R2,UnSorted,,41.428,2.442,2012
9/1/1994,T8,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,46.46,1.48,1994
6/28/2007,T4,R6,Triticum aestivum L. (*),SEED,42.059,1.664,2007
10/22/2002,T2,R6,Zea mays L. (*),STOVER,46.631,0.83,2002
10/3/2005,T2,R3,aggregate of live biomass except for Zea mays,,42.04,1.323,2005
5/11/2006,T3,R2,Secale cereale M.Bieb.,,42.288,2.225,2006
6/22/2015,T6,R1,Medicago sativa L.,,43.586,3.117,2015
9/27/2012,T2,R4,Glycine max L. (*),STOVER,45.722,0.811,2012
8/5/2002,T7,R4,Solidago canadensis L.,,45.558,1.128,2002
10/23/2002,T3,R4,Zea mays L. (*),SEED,45.269,1.518,2002
8/10/1998,T7,R4,Senesing Grass,NDB,42.91,1.19,1998
10/10/2018,T3,R5,Glycine max L. (*),SEED,52.077,6.105,2018
8/8/1997,T5,R5,Festuca rubra L.,GRDCOVER,41.27,1.05,1997
7/26/2018,T5,R2,UnSorted,,43.172,1.228,2018
7/6/1994,T6,R1,Medicago sativa L.,NDB,42.9,2.89,1994
8/6/2014,T7,R1,Solidago canadensis L.,,45.451,1.029,2014
10/4/1993,T2,R2,Zea mays L. (*),SEED,46.4,1.21,1993
9/15/1997,T1,R3,Glycine max L. (*),SEED,48.7,5.55,1997
11/18/2011,T7,R6,UnSorted,,45.468,0.847,2011
10/21/2014,T1,R2,Zea mays L. (*),STOVER,44.955,0.62,2014
5/12/2008,T3,R6,Trifolium pratense L.,,43.95,3.999,2008
10/17/2018,T4,R1,Glycine max L. (*),STOVER,43.682,0.784,2018
10/9/2018,T6,R4,UnSorted,,31.346,3.28,2018
10/23/2002,T3,R2,Zea mays L. (*),STOVER,46.326,1.06,2002
5/8/2018,T4,R1,UnSorted,,36.85,2.127,2018
5/16/2007,T6,R1,aggregate of live biomass except for Medicago sativa L.,,40.971,1.912,2007
10/24/2014,T4,R4,UnSorted,,42.261,0.806,2014
7/15/2013,T2,R5,Triticum aestivum L. (*),STOVER,45.134,0.771,2013
5/20/2009,T4,R6,Secale cereale M.Bieb.,,43.955,1.673,2009
10/2/1991,T2,R6,Zea mays L. (*),STOVER,45.17,0.7,1991
8/1/2000,T7,R3,Solidago canadensis L.,,44.852,1.082,2000
9/8/1997,T5,,Trunks of poplars - CN code,TRUNK,49.29,0.16,1997
7/8/2004,T2,R4,Triticum aestivum L. (*),SEED,41.836,1.738,2004
8/29/2006,T5,R1,Leaf Litter,,46.224,1.407,2006
7/2/1991,T5,R3,Leaf Litter,LEAFLITTER,38.17,0.7,1991
5/24/1993,T6,R6,Medicago sativa L.,NDB,44.13,2.89,1993
5/24/2004,T6,R1,aggregate of live biomass except for Medicago sativa L.,,36.968,2.131,2004
,DFF,R1,Leaf Litter,LEAFLITTER,46.5,0.94,1998
7/18/2013,T4,R6,Triticum aestivum L. (*),STOVER,44.548,0.419,2013
10/1/1991,T4,R1,Glycine max L. (*),STOVER,46.49,1.11,1991
5/10/2018,T6,R1,Medicago sativa L.,,40.676,4.839,2018
7/12/2004,T1,R3,aggregate of live biomass except for Triticum sp.,,42.408,1.219,2004
8/2/2004,T7,R4,Solidago canadensis L.,,43.266,1.424,2004
9/4/2003,T4,R4,Glycine max L. (*),STOVER,42.663,3.467,2003
7/6/2005,T6,R4,aggregate of live biomass except for Medicago sativa L.,,40.893,2.308,2005
8/30/2019,T4,R4,UnSorted,,43.615,2.323,2019
10/21/2014,T4,R1,Zea mays L. (*),SEED,42.625,1.085,2014
8/26/2002,T6,R1,aggregate of live biomass except for Medicago sativa L.,,39.077,3.071,2002
7/28/2004,T7,R1,Trifolium pratense L.,,43.37,1.989,2004
11/20/2015,T7,R3,UnSorted,,45.871,0.528,2015
9/3/2002,TCF,R2,Leaf Litter,,49.657,0.967,2002
9/3/2003,T3,R2,Glycine max L. (*),STOVER,41.327,3.187,2003
10/2/1991,T2,R3,Zea mays L. (*),SEED,41.69,1.86,1991
11/26/2019,T7,R3,Surface Litter,,44.883,0.907,2019
8/8/2002,T8,R3,Bromus inermis Leyss.,,47.236,1.076,2002
10/22/2008,T3,R3,Zea mays L. (*),STOVER,44.391,0.504,2008
8/8/2007,T8,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.968,1.015,2007
9/25/2012,T2,R1,UnSorted,,42.11,2.03,2012
8/7/2012,TSF,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,46.153,1.324,2012
10/1/1991,T3,R6,Glycine max L. (*),SEED,57.03,7.12,1991
8/1/2016,T7,R3,Solidago canadensis L.,,44.356,0.926,2016
8/26/2013,T7,R5,Solidago canadensis L.,,43.686,0.937,2013
5/11/1998,T6,R3,Medicago sativa L.,CROP,42.25,3.13,1998
10/2/1991,T1,R6,Zea mays L. (*),SEED,40.77,1.57,1991
10/16/2017,T1,R3,Zea mays L. (*),STOVER,43.497,0.58,2017
5/3/2012,T4,R1,UnSorted,,40.267,1.62,2012
10/4/1993,T1,R6,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,44.02,2.35,1993
6/28/2007,T2,R6,Triticum aestivum L. (*),SEED,42.008,1.574,2007
,TDF,R2,Leaf Litter,LEAFLITTER,48.74,1.39,1993
8/4/2005,T7,R2,Poa compressa L.,,44.814,1.183,2005
7/5/2005,T6,R1,Medicago sativa L.,,43.302,2.308,2005
7/20/1992,T3,R6,Triticum aestivum L. (*),STOVER,40.32,0.98,1992
8/16/2010,T8,R1,Rubus allegheniensis T.C. Porter (*),,46.401,1.284,2010
6/28/2007,T2,R6,aggregate of live biomass except for Triticum sp.,,43.44,1.711,2007
7/12/2010,T4,R2,aggregate of live biomass except for Triticum sp.,,46.517,1.359,2010
7/18/2019,T4,R2,Triticum aestivum L. (*),SEED,42.412,1.851,2019
7/14/2008,T6,R3,Triticum aestivum L. (*),STOVER,44.106,0.796,2008
8/11/2006,TSF,R2,Poa compressa L.,,42.683,1.005,2006
,TCF,R1,Leaf Litter,LEAFLITTER,50.18,1.06,1998
9/7/2016,TSF,R1,Surface Litter,,40.333,0.808,2016
5/14/2018,T6,R6,Medicago sativa L.,,42.317,4.65,2018
10/1/2015,T3,R3,Glycine max L. (*),STOVER,42.772,0.671,2015
8/5/1992,T5,R4,Festuca rubra L.,GRDCOVER,42.04,1.15,1992
10/9/2006,T21,R5,Glycine max L. (*),,45.688,0.623,2006
10/24/2014,T2,R5,Zea mays L. (*),SEED,42.542,1.118,2014
8/7/2006,T7,R6,Solidago canadensis L.,,45.382,1.001,2006
12/2/2014,T7,R2,Surface Litter,,47.068,1.516,2014
7/9/2013,T6,R2,Medicago sativa L.,,43.831,3.068,2013
8/2/2006,T7,R1,Surface Litter,,46.076,1.99,2006
10/15/1996,T4,R4,Zea mays L. (*),SEED,43.81,1.7,1996
6/2/2011,T6,R5,Medicago sativa L.,,43.715,3.024,2011
9/17/1992,T5,,Trunks of poplars - CN code,TRUNK,44.91,0.26,1992
8/19/1997,T6,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,37.01,2.45,1997
10/5/2005,T4,R1,Zea mays L. (*),SEED,43.303,1.091,2005
10/10/1992,T6,R4,Medicago sativa L.,CROP,47.01,3.71,1992
7/6/1995,T6,R2,Medicago sativa L.,NDB,43.86,3.57,1995
10/18/2017,T4,R3,UnSorted,,39.829,1.044,2017
8/11/2011,TSF,R2,Quercus spp.,,49.973,1.667,2011
9/17/2018,TSF,R3,Phytolacca americana L.,,36.96,3.566,2018
8/30/1999,T5,R1,Monocots,GRDCOVER,44.37,1.59,1999
8/3/2006,T7,R2,Poa pratensis L.,,43.214,1.41,2006
8/21/2013,T7,R4,Poa pratensis L.,,42.279,1.083,2013
8/7/2007,T8,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.693,0.879,2007
10/4/1993,T1,R2,Zea mays L. (*),STOVER,41.24,0.87,1993
5/22/1992,T6,R6,Medicago sativa L.,CROP,45.46,3.48,1992
9/12/1989,T5,R1,poplar leaves,POPLVS,45.83,4.02,1989
10/28/2011,T4,R1,Zea mays L. (*),STOVER,46.286,0.834,2011
10/6/2005,T4,R6,Zea mays L. (*),SEED,43.06,1.109,2005
10/9/2018,T3,R4,Glycine max L. (*),STOVER,44.116,0.555,2018
8/8/2011,T8,R4,Bromus inermis Leyss.,,45.486,1.148,2011
4/17/1996,T3,R6,Trifolium incarnatum L.,COVCROPNDB,42.68,4.69,1996
7/8/1991,T6,R2,Medicago sativa L.,CROP,44.72,3.63,1991
7/15/2008,T6,R5,Triticum aestivum L. (*),SEED,41.087,2.006,2008
7/5/1990,T6,R5,Medicago sativa L.,CROP,46.83,3.64,1990
8/23/2010,TSF,R3,Parthenocissus quinquefolia (L.) Planch.,,44.582,2.561,2010
7/13/2004,T4,R3,aggregate of live biomass except for Triticum sp.,,43.324,1.544,2004
8/6/2001,T7,R5,Solidago canadensis L.,,44.857,0.767,2001
9/12/1994,T21,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,48.28,1.72,1994
8/23/2010,TSF,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,45.003,2.548,2010
9/12/1994,T1,R1,Glycine max L. (*),STOVER,44.39,1.11,1994
9/14/1999,T1,R3,Zea mays L. (*),SEED,43.13,1.32,1999
10/30/2015,T5,R3,Leaf Litter,,44.32,1.232,2015
4/30/1990,T4,R5,Vicia villosa  Roth,COVCROP,33.39,2.5,1990
7/12/1995,T21,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,38.87,3.28,1995
12/15/2015,TSF,R3,Leaf Litter,,46.955,1.423,2015
9/10/2012,T6,R6,Medicago sativa L.,,44.749,3.33,2012
5/18/2006,T3,R6,Secale cereale M.Bieb.,,42.992,1.476,2006
9/30/1994,T7,R4,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,46.35,2.16,1994
9/10/1998,T5,R1,Surface Litter,SURFACELITTER,36.42,1.07,1998
8/7/2017,T8,R3,Surface Litter,,44.994,1.139,2017
11/26/2013,T7,R1,UnSorted,,44.372,0.592,2013
6/4/2018,T6,R1,UnSorted,,40.992,4.002,2018
5/30/2014,T6,R5,UnSorted,,39.771,1.823,2014
7/14/2004,T4,R5,Triticum aestivum L. (*),STOVER,41.145,0.994,2004
10/9/2006,T21,R5,aggregate of live biomass except for Glycine max L. (*),,38.121,2.265,2006
8/7/1995,T7,R3,Apocynum cannabinum L.,NDB,49.03,0.97,1995
9/30/1994,T7,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,44.11,2.29,1994
6/2/1994,T7,R1,Daucus carota L.,NDB,41.31,2.12,1994
5/16/2011,T4,R2,Trifolium pratense L.,,44.843,3.48,2011
9/15/1997,T21,R5,Glycine max L. (*),SEED,49.37,6.11,1997
8/2/2007,T7,R2,Poa pratensis L.,,43.717,1.463,2007
7/29/1998,TSF,R2,Standing Dead,NDB,43.43,0.8,1998
7/1/1996,T6,R1,Medicago sativa L.,CROP,43.47,2.75,1996
9/13/1991,T5,R1,Leaf Litter,LEAFLITTER,39.81,1.54,1991
8/7/2014,T7,R4,Poa pratensis L.,,43.288,1.188,2014
8/2/2012,T7,R6,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.972,1.345,2012
7/25/2012,T8,R4,Poa pratensis L.,,43.467,1.391,2012
8/4/2003,T7,R2,Apocynum cannabinum L.,,44.796,1.328,2003
8/1/2000,T7,R2,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,45.296,1.219,2000
6/27/2007,T1,R6,Triticum aestivum L. (*),STOVER,45.425,0.425,2007
10/9/2003,T5,R4,fescue Non dominant biomass,,40.857,1.381,2003
10/9/2018,T3,R1,Glycine max L. (*),STOVER,42.946,0.643,2018
7/7/2016,T4,R2,Triticum aestivum L. (*),STOVER,44.07,0.486,2016
10/5/2006,T3,R3,Glycine max L. (*),SEED,51.531,5.937,2006
10/2/1995,T6,R5,Medicago sativa L.,NDB,43.16,3.52,1995
5/11/2012,T6,R1,Medicago sativa L.,,43.563,3.109,2012
7/9/2010,T3,R2,Triticum aestivum L. (*),SEED,45.279,2.125,2010
8/16/1990,T6,R1,Medicago sativa L.,CROP,45.3,3.93,1990
8/11/1999,T7,R1,Daucus carota L.,NDB,43.94,0.96,1999
10/5/2009,T2,R6,Glycine max L. (*),STOVER,43.404,0.855,2009
10/6/2009,T4,R5,Glycine max L. (*),SEED,51.088,6.545,2009
7/20/1992,T4,R2,Triticum aestivum L. (*),STOVER,39.64,0.93,1992
9/10/1998,T5,R2,Festuca rubra L.,GRDCOVER,41.53,0.99,1998
8/5/2010,T7,R5,Trifolium pratense L.,,44.154,1.808,2010
10/23/2014,T4,R2,Zea mays L. (*),STOVER,44.592,0.576,2014
9/12/1994,T4,R6,Glycine max L. (*),STOVER,44.6,1.31,1994
7/12/1995,T1,R2,Triticum aestivum L. (*),SEED,40.1,1.92,1995
7/19/2019,T3,R3,Triticum aestivum L. (*),STOVER,45.627,0.245,2019
10/9/2006,T2,R6,Glycine max L. (*),STOVER,46.474,0.574,2006
10/15/1996,T3,R2,Zea mays L. (*),SEED,43.7,1.6,1996
7/12/2007,T6,R3,Medicago sativa L.,,44.467,2.517,2007
9/14/1999,T1,R1,Zea mays L. (*),STOVER,44.99,0.55,1999
8/2/2007,T7,R3,Solidago canadensis L.,,44.418,0.878,2007
10/23/2014,T3,R2,Zea mays L. (*),STOVER,44.549,0.478,2014
4/17/1996,T3,R1,Trifolium incarnatum L.,COVCROPNDB,44.43,4.24,1996
9/10/1998,T5,R4,Festuca rubra L.,GRDCOVER,42.37,1.12,1998
11/26/2013,T7,R1,Surface Litter,,42.574,0.987,2013
10/4/1993,T4,R6,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,44.51,2.69,1993
8/3/2009,T7,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.624,1.027,2009
6/30/2014,T6,R1,UnSorted,,40.029,2.786,2014
8/28/2013,T8,R4,Poa pratensis L.,,41.091,1.183,2013
8/6/1996,T4,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,42.8,1.98,1996
8/29/2006,T5,R5,Leaf Litter,,47.582,1.656,2006
6/26/1995,T8,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,44.01,1.32,1995
10/6/1992,T1,R5,Glycine max L. (*),SEED,47.8,6.31,1992
8/13/2009,TSF,R1,Leaf Litter,,46.5,1.508,2009
10/26/2011,T2,R3,Zea mays L. (*),SEED,43.256,1.35,2011
10/13/1989,T3,R1,Vicia villosa  Roth,COVCROP,39.64,4.4,1989
8/26/2002,T6,R4,aggregate of live biomass except for Medicago sativa L.,,37.582,3.505,2002
10/17/2018,T4,R3,UnSorted,,44.028,2.064,2018
5/10/2018,T6,R3,UnSorted,,42.897,3.073,2018
8/6/2015,T8,R2,Solidago canadensis L.,,46.229,0.952,2015
8/17/2005,T6,R1,aggregate of live biomass except for Medicago sativa L.,,42.545,2.494,2005
6/26/2007,T2,R2,aggregate of live biomass except for Triticum sp.,,42.066,1.815,2007
8/2/2000,T7,R6,Elymus repens (L.) Gould,,44.788,0.941,2000
10/22/2002,T2,R2,Zea mays L. (*),SEED,44.682,1.413,2002
7/12/2004,T1,R3,Triticum aestivum L. (*),STOVER,41.742,0.748,2004
8/5/1992,T5,R2,Festuca rubra L.,GRDCOVER,42.6,1.29,1992
9/2/2003,T1,R6,aggregate of live biomass except for Glycine max L. (*),,37,2.367,2003
6/8/1991,T5,R4,Festuca rubra L.,GRDCOVER,42.83,1.52,1991
10/15/1996,T3,R2,Zea mays L. (*),STOVER,43.91,0.85,1996
7/20/1992,T4,R5,Triticum aestivum L. (*),SEED,36.76,2.26,1992
8/23/1991,T5,R1,Leaf Litter,LEAFLITTER,42.17,1.54,1991
9/12/1989,T1,R4,Zea mays L. (*),STOVER,41.77,0.81,1989
7/14/1989,T3,R5,Triticum aestivum L. (*),SEED,41.59,2.24,1989
10/2/1991,T2,R4,Zea mays L. (*),SEED,40.81,1.48,1991
8/6/2001,T7,R4,Poa pratensis L.,,43.812,1.51,2001
8/9/2005,T8,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.75,1.29,2005
9/25/2012,T1,R2,Glycine max L. (*),SEED,50.688,6.092,2012
8/7/2017,T8,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,45.962,0.929,2017
8/2/2006,T7,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.333,1.667,2006
8/13/2002,TSF,R2,Rubus sp. (*),,46.972,1.143,2002
9/28/2012,T4,R5,Glycine max L. (*),STOVER,42.412,0.895,2012
9/7/2016,TSF,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,43.064,0.954,2016
6/28/2007,T1,R3,Triticum aestivum L. (*),SEED,41.418,1.671,2007
8/11/2003,TSF,R2,Poa compressa L.,,42.029,1.071,2003
10/6/2006,T3,R6,aggregate of live biomass except for Glycine max L. (*),,35.889,2.845,2006
7/6/1992,T6,R4,Medicago sativa L.,CROP,47.48,3.02,1992
10/3/2005,T2,R2,aggregate of live biomass except for Zea mays,,46.706,1.647,2005
7/31/2017,T7,R1,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,44.753,0.989,2017
9/15/2008,TDF,R1,Leaf Litter,,46.17,0.759,2008
6/2/2011,T6,R4,Medicago sativa L.,,43.614,2.983,2011
8/23/2007,T6,R4,aggregate of live biomass except for Medicago sativa L.,,40.082,3.436,2007
7/6/2016,T3,R5,Triticum aestivum L. (*),STOVER,44.003,0.633,2016
10/13/1989,T6,R6,Medicago sativa L.,CROP,44.43,4.59,1989
9/17/1992,T5,,Trunks of poplars - CN code,TRUNK,45.47,0.38,1992
9/28/2012,T1,R5,Surface Litter,,29.272,0.755,2012
7/9/2010,T1,R5,Triticum aestivum L. (*),STOVER,44.886,0.888,2010
8/2/2018,T7,R4,Aster sagittifolius,,44.285,0.845,2018
11/30/2012,TCF,R2,Leaf Litter,,47.833,1.292,2012
7/6/1998,T3,R1,Triticum aestivum L. (*),SEED,41.31,1.9,1998
7/12/1995,T2,R2,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,47.79,2.52,1995
12/2/2014,T7,R1,Surface Litter,,44.891,1.35,2014
11/7/2014,T5,R5,Leaf Litter,,43.028,1.237,2014
9/2/1998,T5,R2,poplar leaves,POPLVS,43.7,1.6,1998
8/7/1992,T7,R4,Aster pilosus Willd.,NDB,45.36,2.11,1992
6/2/2003,T6,R6,Medicago sativa L.,,41.946,2.975,2003
9/5/1996,T5,,Trunks of poplars - CN code,TRUNK,46.56,0.07,1996
11/14/2013,T5,R5,Leaf Litter,,44.346,1.346,2013
9/3/2003,T3,R1,Glycine max L. (*),STOVER,35.437,2.597,2003
