obs_date,treatment,observation_type,comment,name,material,rate,units,equipment,observation_id
5/14/1993,T3,Fertilizer application,"starter N applied along side of row using 25 lbs N/a (28 kg N/ha) of 28% N [T3] {{PL: <Action>Low input, Zero input;
Planted treatments 3 and 4 on main site.  FL 450 was planted at 26,000 plants/a with the Buffalo planter using ridges.  Ridges were shaved off quite a bit in hopes of covering up some of the grass present.  Liquid starter (28-0-0) was applied to treatment 3 for all reps at a rate of 25 lbs. /a.  A total of 110 gallons of 28-0-0 was applied to all 6 replications.  Density of 28-0-0 is 9.91 lbs/gal. }}
",T3R3,28% UAN (28-0-0),18,gallon,unknown,485
4/20/1995,T3,Fertilizer application,Broadcasted 30 lbs N/a (34 kg N/a) as ammonium nitrate (34-0-0) [T3],T3R1,ammonium nitrate (34-0-0),88,pound,unknown,422
4/20/1995,T3,Fertilizer application,Broadcasted 30 lbs N/a (34 kg N/a) as ammonium nitrate (34-0-0) [T3],T3R6,ammonium nitrate (34-0-0),88,pound,unknown,422
4/20/1995,T3,Fertilizer application,Broadcasted 30 lbs N/a (34 kg N/a) as ammonium nitrate (34-0-0) [T3],T3R5,ammonium nitrate (34-0-0),88,pound,unknown,422
4/20/1995,T3,Fertilizer application,Broadcasted 30 lbs N/a (34 kg N/a) as ammonium nitrate (34-0-0) [T3],T3R4,ammonium nitrate (34-0-0),88,pound,unknown,422
4/20/1995,T3,Fertilizer application,Broadcasted 30 lbs N/a (34 kg N/a) as ammonium nitrate (34-0-0) [T3],T3R3,ammonium nitrate (34-0-0),88,pound,unknown,422
4/20/1995,T3,Fertilizer application,Broadcasted 30 lbs N/a (34 kg N/a) as ammonium nitrate (34-0-0) [T3],T3R2,ammonium nitrate (34-0-0),88,pound,unknown,422
3/7/1996,T3,Fertilizer application,Applied 100 lb K/acre (112 kg K/ha) K20 as Potash (0-0-60) across all six replicates using bulk spreader [T3],T3R2,0-0-60 potash fertilizer,100,pound,bulk spreader,384
3/7/1996,T3,Fertilizer application,Applied 100 lb K/acre (112 kg K/ha) K20 as Potash (0-0-60) across all six replicates using bulk spreader [T3],T3R6,0-0-60 potash fertilizer,100,pound,bulk spreader,384
3/7/1996,T3,Fertilizer application,Applied 100 lb K/acre (112 kg K/ha) K20 as Potash (0-0-60) across all six replicates using bulk spreader [T3],T3R5,0-0-60 potash fertilizer,100,pound,bulk spreader,384
3/7/1996,T3,Fertilizer application,Applied 100 lb K/acre (112 kg K/ha) K20 as Potash (0-0-60) across all six replicates using bulk spreader [T3],T3R4,0-0-60 potash fertilizer,100,pound,bulk spreader,384
3/7/1996,T3,Fertilizer application,Applied 100 lb K/acre (112 kg K/ha) K20 as Potash (0-0-60) across all six replicates using bulk spreader [T3],T3R3,0-0-60 potash fertilizer,100,pound,bulk spreader,384
3/7/1996,T3,Fertilizer application,Applied 100 lb K/acre (112 kg K/ha) K20 as Potash (0-0-60) across all six replicates using bulk spreader [T3],T3R1,0-0-60 potash fertilizer,100,pound,bulk spreader,384
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R1,N,25,pound,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R2,N,25,pound,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R3,N,25,pound,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R4,N,25,pound,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R5,N,25,pound,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R6,N,25,pound,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R1,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R2,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R3,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R4,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R5,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R6,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo no-till planter,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R6,,,,row cultivator --type unknown,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R5,,,,row cultivator --type unknown,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R4,,,,row cultivator --type unknown,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R3,,,,row cultivator --type unknown,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R2,,,,row cultivator --type unknown,390
5/14/1996,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at 26,000 seeds/acre (64,198 seeds/ha) on 30” (76 cm) rows [T3] {{PL: Cultivated TRT 1 and 3 (sw-ne) across all six replicates. Planted corn (pion 3573) to trt 1 and 3 MS with 25 lb n/a starter N}}",T3R1,,,,row cultivator --type unknown,390
5/14/1996,T3,Fertilizer application,Apply 25 lb Starter N/acre (28 kg/ha) (28-0-0) UAN [T3],T3R5,28% UAN (28-0-0),8,gallon,unknown,712
5/14/1996,T3,Fertilizer application,Apply 25 lb Starter N/acre (28 kg/ha) (28-0-0) UAN [T3],T3R4,28% UAN (28-0-0),8,gallon,unknown,712
5/14/1996,T3,Fertilizer application,Apply 25 lb Starter N/acre (28 kg/ha) (28-0-0) UAN [T3],T3R3,28% UAN (28-0-0),8,gallon,unknown,712
5/14/1996,T3,Fertilizer application,Apply 25 lb Starter N/acre (28 kg/ha) (28-0-0) UAN [T3],T3R6,28% UAN (28-0-0),8,gallon,unknown,712
5/14/1996,T3,Fertilizer application,Apply 25 lb Starter N/acre (28 kg/ha) (28-0-0) UAN [T3],T3R2,28% UAN (28-0-0),8,gallon,unknown,712
5/14/1996,T3,Fertilizer application,Apply 25 lb Starter N/acre (28 kg/ha) (28-0-0) UAN [T3],T3R1,28% UAN (28-0-0),8,gallon,unknown,712
6/26/1996,T3,Fertilizer application,"Banded Buctril Gel in 12” (30.1 cm) spray bands at 0.5 pt/acre (0.6 L/ha) (one nozzle on each side of row) replicates 1,2,3,4, and 6, only [T3]",T3R6,Buctril Gel,0.5,pint,unknown,401
6/26/1996,T3,Fertilizer application,"Banded Buctril Gel in 12” (30.1 cm) spray bands at 0.5 pt/acre (0.6 L/ha) (one nozzle on each side of row) replicates 1,2,3,4, and 6, only [T3]",T3R4,Buctril Gel,0.5,pint,unknown,401
6/26/1996,T3,Fertilizer application,"Banded Buctril Gel in 12” (30.1 cm) spray bands at 0.5 pt/acre (0.6 L/ha) (one nozzle on each side of row) replicates 1,2,3,4, and 6, only [T3]",T3R2,Buctril Gel,0.5,pint,unknown,401
6/26/1996,T3,Fertilizer application,"Banded Buctril Gel in 12” (30.1 cm) spray bands at 0.5 pt/acre (0.6 L/ha) (one nozzle on each side of row) replicates 1,2,3,4, and 6, only [T3]",T3R1,Buctril Gel,0.5,pint,unknown,401
6/26/1996,T3,Fertilizer application,"Banded Buctril Gel in 12” (30.1 cm) spray bands at 0.5 pt/acre (0.6 L/ha) (one nozzle on each side of row) replicates 1,2,3,4, and 6, only [T3]",T3R3,Buctril Gel,0.5,pint,unknown,401
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R5,0-0-60 potash fertilizer,168,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R6,0-0-60 potash fertilizer,168,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R4,P205,40,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R3,P205,40,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R2,P205,40,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R1,P205,40,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R1,0-0-60 potash fertilizer,168,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R6,P205,40,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R2,0-0-60 potash fertilizer,168,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R5,P205,40,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R4,0-0-60 potash fertilizer,168,pound,bulk spreader,693
4/10/1997,T3,Fertilizer application,"Fertilize for K and P. Fertilizer applications recommended were 100 lb K/acre as potash (K2O) (0-0-60) and 40 lb P/acre as P2O5 applied with bulk spreader (pre-plant). Nitrogen: none. Applied mix of 100 lb K2O/A and 20 lb P2O5 = 168 lb potash (0-0-60) plus 40 lb P2O5. Mix gave 41 lb/A K plus 20 lb P/A [Phosphorus, K2O] [T3]",T3R3,0-0-60 potash fertilizer,168,pound,bulk spreader,693
4/20/1998,T3,Fertilizer application,Broadcasted 25 lbs N/a (x kg N/a) as ammonium nitrate (34-0-0) [T3],T3R6,ammonium nitrate (34-0-0),73.5,pound,unknown,335
4/20/1998,T3,Fertilizer application,Broadcasted 25 lbs N/a (x kg N/a) as ammonium nitrate (34-0-0) [T3],T3R1,ammonium nitrate (34-0-0),73.5,pound,unknown,335
4/20/1998,T3,Fertilizer application,Broadcasted 25 lbs N/a (x kg N/a) as ammonium nitrate (34-0-0) [T3],T3R2,ammonium nitrate (34-0-0),73.5,pound,unknown,335
4/20/1998,T3,Fertilizer application,Broadcasted 25 lbs N/a (x kg N/a) as ammonium nitrate (34-0-0) [T3],T3R3,ammonium nitrate (34-0-0),73.5,pound,unknown,335
4/20/1998,T3,Fertilizer application,Broadcasted 25 lbs N/a (x kg N/a) as ammonium nitrate (34-0-0) [T3],T3R4,ammonium nitrate (34-0-0),73.5,pound,unknown,335
4/20/1998,T3,Fertilizer application,Broadcasted 25 lbs N/a (x kg N/a) as ammonium nitrate (34-0-0) [T3],T3R5,ammonium nitrate (34-0-0),73.5,pound,unknown,335
4/20/1999,T3,Fertilizer application,"Applied 0.5 ton lime/acre (1.12 Mg/ha) using bulk spreader. [T3]

Applied 0.5 ton lime/acre (1.12 Mg lime/ha) using truck bulk spreader. [T1]",T3R5,lime,0.5,ton,Terra-Gator,659
4/20/1999,T3,Fertilizer application,"Applied 0.5 ton lime/acre (1.12 Mg/ha) using bulk spreader. [T3]

Applied 0.5 ton lime/acre (1.12 Mg lime/ha) using truck bulk spreader. [T1]",T3R1,lime,0.5,ton,Terra-Gator,659
4/20/1999,T3,Fertilizer application,"Applied 0.5 ton lime/acre (1.12 Mg/ha) using bulk spreader. [T3]

Applied 0.5 ton lime/acre (1.12 Mg lime/ha) using truck bulk spreader. [T1]",T3R2,lime,0.5,ton,Terra-Gator,659
4/20/1999,T3,Fertilizer application,"Applied 0.5 ton lime/acre (1.12 Mg/ha) using bulk spreader. [T3]

Applied 0.5 ton lime/acre (1.12 Mg lime/ha) using truck bulk spreader. [T1]",T3R3,lime,0.5,ton,Terra-Gator,659
4/20/1999,T3,Fertilizer application,"Applied 0.5 ton lime/acre (1.12 Mg/ha) using bulk spreader. [T3]

Applied 0.5 ton lime/acre (1.12 Mg lime/ha) using truck bulk spreader. [T1]",T3R4,lime,0.5,ton,Terra-Gator,659
4/20/1999,T3,Fertilizer application,"Applied 0.5 ton lime/acre (1.12 Mg/ha) using bulk spreader. [T3]

Applied 0.5 ton lime/acre (1.12 Mg lime/ha) using truck bulk spreader. [T1]",T3R6,lime,0.5,ton,Terra-Gator,659
5/13/1999,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at a rate of 26,000 seeds/A (64198 seeds / ha) on 30 inch (76 cm) centers using Buffalo planter (N-S) and apply 25 LB (28 kg/ha) starter N/A as 28% UAN. Planted Replicates 1 and 2, only. [T3]
2012-11-6. sven. This should be 8 gal to yield 25 lb N/a instead of 29 gallons.",T3R1,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo planter,658
5/13/1999,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at a rate of 26,000 seeds/A (64198 seeds / ha) on 30 inch (76 cm) centers using Buffalo planter (N-S) and apply 25 LB (28 kg/ha) starter N/A as 28% UAN. Planted Replicates 1 and 2, only. [T3]
2012-11-6. sven. This should be 8 gal to yield 25 lb N/a instead of 29 gallons.",T3R2,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo planter,658
5/13/1999,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at a rate of 26,000 seeds/A (64198 seeds / ha) on 30 inch (76 cm) centers using Buffalo planter (N-S) and apply 25 LB (28 kg/ha) starter N/A as 28% UAN. Planted Replicates 1 and 2, only. [T3]
2012-11-6. sven. This should be 8 gal to yield 25 lb N/a instead of 29 gallons.",T3R2,28% UAN (28-0-0),8,gallon,Buffalo planter,658
5/13/1999,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at a rate of 26,000 seeds/A (64198 seeds / ha) on 30 inch (76 cm) centers using Buffalo planter (N-S) and apply 25 LB (28 kg/ha) starter N/A as 28% UAN. Planted Replicates 1 and 2, only. [T3]
2012-11-6. sven. This should be 8 gal to yield 25 lb N/a instead of 29 gallons.",T3R1,28% UAN (28-0-0),8,gallon,Buffalo planter,658
5/14/1999,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at a rate of 26,000 seeds/A (64198 seeds / ha) on 30 inch (76 cm) centers using Buffalo planter (N-S) and apply 25 LB (28 kg/ha) starter N/A as 28% UAN. Planted Replicates 3,4,5, and 6, only. [T3]
2012-11-6. sven. This should be 8 gal of 28-0-0 to yield 28 kg/ha N. Not 29 gallons as entered.",T3R4,28% UAN (28-0-0),8,gallon,Buffalo planter,663
5/14/1999,T3,Fertilizer application,"Planted Pioneer 3573 Corn Hybrid at a rate of 26,000 seeds/A (64198 seeds / ha) on 30 inch (76 cm) centers using Buffalo planter (N-S) and apply 25 LB (28 kg/ha) starter N/A as 28% UAN. Planted Replicates 3,4,5, and 6, only. [T3]
2012-11-6. sven. This should be 8 gal of 28-0-0 to yield 28 kg/ha N. Not 29 gallons as entered.",T3R4,Pioneer 3573 Corn Hybrid,26000,seeds,Buffalo planter,663
