# Planting report for the MCSE
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/292
# The newest version of the data https://lter.kbs.msu.edu/datatables/292.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/7.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# obs_date		The observation date
# Treatment		experimental treatment
# Replicate		LTER Replicate
# Plot		LTER Plot
# Material		material used
# Rate	number	rate of application
# Unit		units per acre
# propagules_per_acre	numberPerAcre	the number of propagules (seeds or plants) planted per acre
# propagule_rate_estimation_flag		a flag to indicate if the number of propagules has been estimate and 'E' indicates and estimated values based on the source_for_estimation and a an empty values indicates a reported value.
# source_for_estimation		references for the conversion from the reported planting rates  to the propagules_per_acre column
# Comment		aa note about the sample
# source		the source URL for the observation
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2020-05-06 Sven Bohm. Added source URL
#2020-5-6 Sven Bohm. Added other replicates
#
obs_date,Treatment,Replicate,Plot,Material,Rate,Unit,propagules_per_acre,propagule_rate_estimation_flag,source_for_estimation,Comment,source
2021-11-09,T1,R6,T1R6,Pioneer 25R40 soft red winter wheat (Treated),175,pound,2100000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T1, Reps (4,2,3,1,5 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 174.94 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 43 using the second door notch, Seed rate was 2,099,280 seeds per acre.",https://aglog.kbs.msu.edu/observations/5289
2021-11-09,T1,R5,T1R5,Pioneer 25R40 soft red winter wheat (Treated),175,pound,2100000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T1, Reps (4,2,3,1,5 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 174.94 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 43 using the second door notch, Seed rate was 2,099,280 seeds per acre.",https://aglog.kbs.msu.edu/observations/5289
2021-11-09,T1,R4,T1R4,Pioneer 25R40 soft red winter wheat (Treated),175,pound,2100000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T1, Reps (4,2,3,1,5 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 174.94 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 43 using the second door notch, Seed rate was 2,099,280 seeds per acre.",https://aglog.kbs.msu.edu/observations/5289
2021-11-09,T1,R3,T1R3,Pioneer 25R40 soft red winter wheat (Treated),175,pound,2100000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T1, Reps (4,2,3,1,5 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 174.94 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 43 using the second door notch, Seed rate was 2,099,280 seeds per acre.",https://aglog.kbs.msu.edu/observations/5289
2021-11-09,T1,R2,T1R2,Pioneer 25R40 soft red winter wheat (Treated),175,pound,2100000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T1, Reps (4,2,3,1,5 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 174.94 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 43 using the second door notch, Seed rate was 2,099,280 seeds per acre.",https://aglog.kbs.msu.edu/observations/5289
2021-11-08,,,T4_micro-plots,Pioneer 25R40 Soft Red Winter Wheat (untreated),187,pound,2244000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T4, Reps (5,3,4,2,1and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was untreated. Pioneer 25R40 ( untreated seed) had 12,000 seeds/lb (90% germ) 

planted at 187.63 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph.

Seed drill was set to 42 using the second door notch, Seed rate was 2,251,560 seeds per acre.",https://aglog.kbs.msu.edu/observations/5290
2021-11-08,T4,R6,T4R6,Pioneer 25R40 Soft Red Winter Wheat (untreated),187,pound,2244000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T4, Reps (5,3,4,2,1and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was untreated. Pioneer 25R40 ( untreated seed) had 12,000 seeds/lb (90% germ) 

planted at 187.63 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph.

Seed drill was set to 42 using the second door notch, Seed rate was 2,251,560 seeds per acre.",https://aglog.kbs.msu.edu/observations/5290
2021-11-08,T4,R5,T4R5,Pioneer 25R40 Soft Red Winter Wheat (untreated),187,pound,2244000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T4, Reps (5,3,4,2,1and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was untreated. Pioneer 25R40 ( untreated seed) had 12,000 seeds/lb (90% germ) 

planted at 187.63 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph.

Seed drill was set to 42 using the second door notch, Seed rate was 2,251,560 seeds per acre.",https://aglog.kbs.msu.edu/observations/5290
2021-11-08,T4,R4,T4R4,Pioneer 25R40 Soft Red Winter Wheat (untreated),187,pound,2244000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T4, Reps (5,3,4,2,1and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was untreated. Pioneer 25R40 ( untreated seed) had 12,000 seeds/lb (90% germ) 

planted at 187.63 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph.

Seed drill was set to 42 using the second door notch, Seed rate was 2,251,560 seeds per acre.",https://aglog.kbs.msu.edu/observations/5290
2021-11-08,T4,R3,T4R3,Pioneer 25R40 Soft Red Winter Wheat (untreated),187,pound,2244000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T4, Reps (5,3,4,2,1and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was untreated. Pioneer 25R40 ( untreated seed) had 12,000 seeds/lb (90% germ) 

planted at 187.63 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph.

Seed drill was set to 42 using the second door notch, Seed rate was 2,251,560 seeds per acre.",https://aglog.kbs.msu.edu/observations/5290
2021-11-08,T4,R2,T4R2,Pioneer 25R40 Soft Red Winter Wheat (untreated),187,pound,2244000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T4, Reps (5,3,4,2,1and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was untreated. Pioneer 25R40 ( untreated seed) had 12,000 seeds/lb (90% germ) 

planted at 187.63 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph.

Seed drill was set to 42 using the second door notch, Seed rate was 2,251,560 seeds per acre.",https://aglog.kbs.msu.edu/observations/5290
2021-11-08,T4,R1,T4R1,Pioneer 25R40 Soft Red Winter Wheat (untreated),187,pound,2244000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T4, Reps (5,3,4,2,1and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was untreated. Pioneer 25R40 ( untreated seed) had 12,000 seeds/lb (90% germ) 

planted at 187.63 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph.

Seed drill was set to 42 using the second door notch, Seed rate was 2,251,560 seeds per acre.",https://aglog.kbs.msu.edu/observations/5290
2021-11-07,T3,R2,T3R2,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T3, Reps (5,4,2,3,1 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5286
2021-11-07,,,T3_micro-plots,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T3, Reps (5,4,2,3,1 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5286
2021-11-07,T3,R6,T3R6,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T3, Reps (5,4,2,3,1 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5286
2021-11-07,T3,R5,T3R5,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T3, Reps (5,4,2,3,1 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5286
2021-11-07,T3,R4,T3R4,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T3, Reps (5,4,2,3,1 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5286
2021-11-07,T3,R3,T3R3,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T3, Reps (5,4,2,3,1 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5286
2021-11-07,T3,R1,T3R1,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T3, Reps (5,4,2,3,1 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5286
2021-10-18,T2,,T2_micro-plot,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T2, Reps (5,2,3,6,1and 4) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 projected 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. Average

 planting speed was 4.5 mph.

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5248
2021-10-18,T2,R6,T2R6,Pioneer 25R40 soft red winter wheat (Treated),165,pound,1980000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T2, Reps (5,2,3,6,1and 4) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 projected 164.74 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. Average

 planting speed was 4.5 mph.

Seed drill was set to 41 using the second door notch, Seed rate was 1,812,140 seeds per acre.",https://aglog.kbs.msu.edu/observations/5248
